Country,Ladder Score,GDP,Life Expectancy,Freedom,Generosity,Year
Finland,7.808700085,10.63926697,71.9008255,0.949172199,-0.059482019,2020
Denmark,7.645599842,10.77400112,72.40250397,0.951444268,0.066201776,2020
Switzerland,7.559899807,10.97993279,74.10244751,0.921336651,0.105911039,2020
Iceland,7.504499912,10.77255917,73,0.948891878,0.246944219,2020
Norway,7.487999916,11.08780384,73.20078278,0.955750287,0.13453263,2020
Netherlands,7.448900223,10.81271172,72.30091858,0.908547819,0.20761244,2020
Sweden,7.353499889,10.75879383,72.60076904,0.939144194,0.111614622,2020
New Zealand,7.299600124,10.50094318,73.20262909,0.936217487,0.191598073,2020
Austria,7.294199944,10.7428236,73.00250244,0.899989486,0.085429221,2020
Luxembourg,7.237500191,11.45068073,72.59999847,0.90563643,-0.004620588,2020
Canada,7.23210001,10.69236851,73.60160065,0.933913231,0.124770768,2020
Australia,7.222799778,10.72059631,73.60453796,0.915431738,0.19046016,2020
United Kingdom,7.164500237,10.60013485,72.30160522,0.834743679,0.263732493,2020
Israel,7.128600121,10.41752529,73.20025635,0.747580588,0.10259372,2020
Costa Rica,7.121399879,9.658156395,71.29985046,0.934738934,-0.10242971,2020
Ireland,7.093699932,11.16097832,72.30078888,0.886982977,0.145784974,2020
Germany,7.075799942,10.7328186,72.20201874,0.867371082,0.080179386,2020
United States,6.939599991,10.92576885,68.29949951,0.842619538,0.149891734,2020
Czech Republic,6.910900116,10.40416336,70.04793549,0.818537354,-0.230861515,2020
Belgium,6.863500118,10.6736393,72.00164795,0.813582063,-0.078691199,2020
United Arab Emirates,6.790800095,11.1099987,67.08278656,0.941345513,0.123450845,2020
Malta,6.772799969,10.53383827,72.19999695,0.924911439,0.214965805,2020
France,6.663799763,10.58422279,73.80193329,0.825467646,-0.130641967,2020
Mexico,6.465000153,9.797797203,68.29902649,0.858709276,-0.175266623,2020
Taiwan Province of China,6.45539999,10.77568531,69.59999847,0.77153033,-0.073198698,2020
Uruguay,6.440100193,9.948192596,69.00254822,0.892395437,-0.101103112,2020
