,index,Country,Ladder Score,Freedom,GDP,Life Expectancy,Generosity,Year,Regional indicator
0,0,Finland,7.8420000000000005,0.9490000000000001,10.775,72.0,-0.098,2021,Western Europe
1,1,Denmark,7.62,0.946,10.933,72.7,0.03,2021,Western Europe
2,2,Switzerland,7.571000000000001,0.919,11.117,74.4,0.025,2021,Western Europe
3,3,Iceland,7.553999999999999,0.955,10.878,73.0,0.16,2021,Western Europe
4,4,Netherlands,7.4639999999999995,0.9129999999999999,10.932,72.4,0.175,2021,Western Europe
5,5,Norway,7.392,0.96,11.052999999999999,73.3,0.09300000000000001,2021,Western Europe
6,6,Sweden,7.3629999999999995,0.945,10.867,72.7,0.086,2021,Western Europe
7,7,Luxembourg,7.324,0.907,11.647,72.6,-0.034,2021,Western Europe
8,8,New Zealand,7.277,0.929,10.642999999999999,73.4,0.134,2021,North America and ANZ
9,9,Austria,7.268,0.9079999999999999,10.905999999999999,73.3,0.042,2021,Western Europe
10,10,Australia,7.183,0.914,10.796,73.9,0.159,2021,North America and ANZ
11,11,Israel,7.157,0.8,10.575,73.503,0.031,2021,Middle East and North Africa
12,12,Germany,7.155,0.875,10.873,72.5,0.011000000000000001,2021,Western Europe
13,13,Canada,7.103,0.915,10.776,73.8,0.08900000000000001,2021,North America and ANZ
14,14,Ireland,7.085,0.879,11.342,72.4,0.077,2021,Western Europe
15,15,Costa Rica,7.069,0.934,9.88,71.4,-0.126,2021,Latin America and Caribbean
16,16,United Kingdom,7.064,0.8590000000000001,10.707,72.5,0.233,2021,Western Europe
17,17,Czech Republic,6.965,0.858,10.556,70.807,-0.20800000000000002,2021,Central and Eastern Europe
18,18,United States,6.9510000000000005,0.8370000000000001,11.023,68.2,0.098,2021,North America and ANZ
19,19,Belgium,6.834,0.7829999999999999,10.823,72.199,-0.153,2021,Western Europe
20,20,France,6.69,0.8220000000000001,10.704,74.0,-0.147,2021,Western Europe
21,21,Bahrain,6.647,0.925,10.669,69.495,0.08900000000000001,2021,Middle East and North Africa
22,22,Malta,6.602,0.927,10.674000000000001,72.2,0.133,2021,Western Europe
23,23,Taiwan,6.584,0.784,10.870999999999999,69.6,-0.07,2021,East Asia
24,24,United Arab Emirates,6.561,0.932,11.085,67.333,0.07400000000000001,2021,Middle East and North Africa
25,25,Saudi Arabia,6.494,0.877,10.743,66.60300000000001,-0.149,2021,Middle East and North Africa
26,26,Spain,6.4910000000000005,0.7609999999999999,10.571,74.7,-0.081,2021,Western Europe
27,27,Italy,6.483,0.693,10.623,73.8,-0.084,2021,Western Europe
28,28,Slovenia,6.461,0.9490000000000001,10.529000000000002,71.4,-0.10099999999999999,2021,Central and Eastern Europe
29,29,Guatemala,6.435,0.9059999999999999,9.052999999999999,64.958,-0.038,2021,Latin America and Caribbean
30,30,Uruguay,6.431,0.8959999999999999,9.966000000000001,69.1,-0.092,2021,Latin America and Caribbean
31,31,Singapore,6.377000000000001,0.927,11.488,76.953,-0.018000000000000002,2021,Southeast Asia
32,32,Kosovo,6.372000000000001,0.8690000000000001,9.318,63.813,0.257,2021,Central and Eastern Europe
33,33,Slovakia,6.331,0.7659999999999999,10.369000000000002,69.20100000000001,-0.124,2021,Central and Eastern Europe
34,34,Brazil,6.33,0.804,9.577,66.601,-0.071,2021,Latin America and Caribbean
35,35,Mexico,6.317,0.862,9.859,68.597,-0.147,2021,Latin America and Caribbean
36,36,Jamaica,6.309,0.89,9.186,67.5,-0.13699999999999998,2021,Latin America and Caribbean
37,37,Lithuania,6.255,0.773,10.499,67.906,-0.203,2021,Central and Eastern Europe
38,38,Cyprus,6.223,0.763,10.575999999999999,73.898,-0.015,2021,Western Europe
39,39,Estonia,6.189,0.909,10.481,68.8,-0.106,2021,Central and Eastern Europe
40,40,Panama,6.18,0.872,10.35,69.652,-0.166,2021,Latin America and Caribbean
41,41,Uzbekistan,6.178999999999999,0.97,8.836,65.255,0.311,2021,Commonwealth of Independent States
42,42,Chile,6.172000000000001,0.742,10.071,70.0,-0.044000000000000004,2021,Latin America and Caribbean
43,43,Poland,6.166,0.841,10.382,69.702,-0.165,2021,Central and Eastern Europe
44,44,Kazakhstan,6.152,0.853,10.155,65.2,-0.069,2021,Commonwealth of Independent States
45,45,Romania,6.14,0.845,10.284,67.355,-0.21899999999999997,2021,Central and Eastern Europe
46,46,Kuwait,6.106,0.867,10.817,66.9,-0.10400000000000001,2021,Middle East and North Africa
47,47,Serbia,6.077999999999999,0.778,9.787,68.6,0.002,2021,Central and Eastern Europe
48,48,El Salvador,6.061,0.888,9.054,66.402,-0.11,2021,Latin America and Caribbean
49,49,Mauritius,6.0489999999999995,0.867,10.008,66.70100000000001,-0.054000000000000006,2021,Sub-Saharan Africa
50,50,Latvia,6.032,0.715,10.315,67.1,-0.162,2021,Central and Eastern Europe
51,51,Colombia,6.0120000000000005,0.8370000000000001,9.557,68.001,-0.135,2021,Latin America and Caribbean
52,52,Hungary,5.992000000000001,0.755,10.357999999999999,68.0,-0.18600000000000003,2021,Central and Eastern Europe
53,53,Thailand,5.985,0.884,9.805,67.40100000000001,0.287,2021,Southeast Asia
54,54,Nicaragua,5.972,0.836,8.62,67.657,0.02,2021,Latin America and Caribbean
55,55,Japan,5.94,0.7959999999999999,10.610999999999999,75.1,-0.258,2021,East Asia
56,56,Argentina,5.928999999999999,0.828,9.962,69.0,-0.182,2021,Latin America and Caribbean
57,57,Portugal,5.928999999999999,0.892,10.421,72.6,-0.244,2021,Western Europe
58,58,Honduras,5.919,0.857,8.648,67.3,0.081,2021,Latin America and Caribbean
59,59,Croatia,5.882000000000001,0.754,10.217,70.79899999999999,-0.11800000000000001,2021,Central and Eastern Europe
60,60,Philippines,5.88,0.917,9.076,62.0,-0.09699999999999999,2021,Southeast Asia
61,61,South Korea,5.845,0.672,10.651,73.9,-0.083,2021,East Asia
62,62,Peru,5.84,0.8220000000000001,9.458,68.25,-0.154,2021,Latin America and Caribbean
63,63,Bosnia and Herzegovina,5.813,0.706,9.59,68.098,0.113,2021,Central and Eastern Europe
64,64,Moldova,5.766,0.8220000000000001,9.454,65.699,-0.079,2021,Commonwealth of Independent States
65,65,Ecuador,5.763999999999999,0.8420000000000001,9.312999999999999,68.8,-0.124,2021,Latin America and Caribbean
66,66,Kyrgyzstan,5.744,0.935,8.538,64.40100000000001,0.11900000000000001,2021,Commonwealth of Independent States
67,67,Greece,5.723,0.5820000000000001,10.279000000000002,72.6,-0.28800000000000003,2021,Western Europe
68,68,Bolivia,5.716,0.875,9.046,63.901,-0.077,2021,Latin America and Caribbean
69,69,Mongolia,5.6770000000000005,0.708,9.4,62.5,0.11599999999999999,2021,East Asia
70,70,Paraguay,5.653,0.8759999999999999,9.448,65.9,0.027999999999999997,2021,Latin America and Caribbean
71,71,Montenegro,5.581,0.708,9.94,68.699,-0.034,2021,Central and Eastern Europe
72,72,Dominican Republic,5.545,0.86,9.802,66.102,-0.133,2021,Latin America and Caribbean
73,73,North Cyprus,5.5360000000000005,0.795,10.575999999999999,73.898,0.012,2021,Western Europe
